‎[06.08.24, 08:42:27] Emmanuel: ‎audio omitted
[27.08.24, 20:38:17] Phil: Ah mit der Kohle von den Gutscheinen
[27.08.24, 20:38:20] Phil: verstehe
[27.08.24, 20:38:22] Phil: danke 🙏
[27.08.24, 20:38:42] Phil: digga Programmieren studieren beste entscheidung
[27.08.24, 20:40:42] Emmanuel: Schwöre
[05.09.24, 11:28:06] Phil: Was geht, biste Uni?
‎[05.09.24, 16:05:55] Emmanuel: ‎audio omitted
[05.09.24, 21:02:52] Phil: haha stark 💪🏼
[05.09.24, 21:03:04] Phil: genieß die Zeit
[05.09.24, 21:05:59] Emmanuel: Danke Bro 💕🙏
[06.09.24, 14:00:54] Emmanuel: https://www.theguardian.com/world/article/2024/sep/05/french-woman-world-fell-apart-alleged-rapes-men-invited-by-husband-gisele-pelicot
‎[06.09.24, 14:08:11] Emmanuel: ‎audio omitted
‎[06.09.24, 19:57:12] Phil: ‎audio omitted
‎[06.09.24, 20:12:14] Emmanuel: ‎audio omitted
[06.09.24, 22:04:55] Phil: Ja aus seiner Sicht 😂
[06.09.24, 22:04:57] Phil: egal
[06.09.24, 23:40:42] Phil: Jo ich kletter jetzt in ner Inklusionsgruppe 😄
[06.09.24, 23:53:13] Emmanuel: Wie was ist eine inklusiongruppe
[06.09.24, 23:53:52] Phil: mit Behinderten
[06.09.24, 23:54:32] Emmanuel: Hmm ok nice
[06.09.24, 23:54:48] Emmanuel: Freut mich für dich Bro 
Enjoy 😁🙏
[06.09.24, 23:56:36] Phil: ist echt nice
[06.09.24, 23:57:09] Phil: Wann kommst du eig wieder zurück?
[07.09.24, 00:10:37] Emmanuel: Am Sonntag Bro
[07.09.24, 00:10:56] Emmanuel: Was machst du  so
[07.09.24, 00:11:47] Phil: chillig
[07.09.24, 00:11:58] Phil: lass was machen wenn du zeit hast
[07.09.24, 00:12:03] Phil: chillen
[07.09.24, 00:12:09] Phil: schau schloss im Himmel
[07.09.24, 00:12:10] Phil: du?
[07.09.24, 00:28:39] Emmanuel: Nice bro same schau schütter Island
[07.09.24, 00:28:52] Emmanuel: Ja können wir machen
[07.09.24, 08:08:03] Phil: nice haha
‎[08.09.24, 03:33:54] Emmanuel: ‎video omitted
‎[08.09.24, 03:38:24] Emmanuel: ‎video omitted
‎[08.09.24, 06:32:16] Emmanuel: ‎image omitted
[08.09.24, 06:32:25] Emmanuel: Wir müssen mal na h Köln
[08.09.24, 09:38:33] Phil: Miss you bro 🥲
[08.09.24, 09:38:41] Phil: Klar komm ich mit dir nach Köln ❤️
[11.09.24, 18:59:53] Phil: oh man sorry 🤦
[11.09.24, 19:00:02] Phil: Handy war lautlos
[11.09.24, 23:07:17] Phil: Ich hätte bei dir mitkommen sollen 😂
[11.09.24, 23:07:21] Phil: wär easy gegangen
[11.09.24, 23:09:57] Emmanuel: Wie meinst du?
[11.09.24, 23:10:03] Emmanuel: Was passiert
[12.09.24, 07:10:02] Phil: Einfach unnötig alk getrunken
[12.09.24, 07:10:25] Phil: hätte lieber ne Veranstaltung mit dir mitnehmen sollen
[12.09.24, 07:10:35] Phil: und auch keinen Me-Time
[13.09.24, 11:01:41] Phil: Hast du bock dadrauf? Mein Kumpel will da mit mir hingehen
https://www.instagram.com/p/C_2Ts1ONpOO/?igsh=b2tibmIya2VnbnAy
[13.09.24, 21:22:23] Phil: Sind hier falls du bock hast 
https://maps.app.goo.gl/QSL6C5tmiwAaNz2n8?g_st=iw
[13.09.24, 21:22:31] Phil: Ist end chillig
‎[13.09.24, 22:11:43] Emmanuel: ‎audio omitted
[14.09.24, 10:07:56] Phil: haha 🫶🏼
[14.09.24, 10:08:00] Phil: bis nächste Woche
[14.09.24, 12:16:57] Emmanuel: Bis nächste Woche und wÜnsch dir ne schöne Zeit mit der fam in Brandenburg ❤️
[14.09.24, 13:13:19] Phil: Danke Bro dir auch schönes Wochenende ❤️
[15.09.24, 15:59:14] Phil: ah bro ich glaube das könnte deine Marktlücke sein
[15.09.24, 15:59:18] Phil: Das kannst du auch gut
[15.09.24, 15:59:25] Phil: so insider veranstaltungen
[15.09.24, 15:59:52] Phil: danach suchen alle aber die sind schwer zu finden für Neue
[15.09.24, 16:00:08] Phil: So ne App brächte ich auch
[15.09.24, 16:01:54] Phil: weil die ganzen Massenveranstaltungen macht auch schon RAGuide
[17.09.24, 22:15:29] Phil: Bro ich glaub ich hab ein Problem 😅😅
[17.09.24, 22:16:00] Phil: Ich sitz gegenüber von Mascha morgen und ich weiß nicht wie ich mich verhalten soll 😭😭
[17.09.24, 22:16:51] Emmanuel: Wie meinst du
[17.09.24, 22:16:53] Emmanuel: Hahahah
[17.09.24, 22:17:02] Emmanuel: Warum
[17.09.24, 22:17:11] Phil: Ich glaub da waren flirty vibes
[17.09.24, 22:17:15] Phil: aber vielleicht auch nicjt
[17.09.24, 22:17:31] Phil: und ich weiß auch selber nicht was ich eig will
[17.09.24, 22:17:52] Phil: und ob das überhaupt klug ist
[17.09.24, 22:18:07] Phil: und ob ich zu viel drüber nachdenke 😂😂
[17.09.24, 22:18:53] Emmanuel: Hahah bro 😂 
Ich glaub vertrau auf dein Bauchgefühl und wenn du sie magst oder interessant findest lad sie einfach ein
[17.09.24, 22:19:13] Emmanuel: Ich glaub Safe würde sie ja sagen
[17.09.24, 22:19:27] Phil: lol
[17.09.24, 22:19:40] Phil: ok cool
[17.09.24, 22:20:03] Phil: Danke Bro
[17.09.24, 22:20:13] Phil: aber ich glaube ich soltle erst mal chillen
[17.09.24, 22:23:00] Emmanuel: Hahahah dann chill
‎[17.09.24, 22:23:10] Emmanuel: ‎audio omitted
[17.09.24, 22:24:31] Phil: Thx bro
[17.09.24, 22:25:39] Phil: Hoffe sehen uns morgen
[18.09.24, 14:35:37] Phil: Bin in Product strategy
[18.09.24, 14:35:47] Emmanuel: Schade
[18.09.24, 14:35:55] Phil: ich glaub ich frag sie doch nicht
[18.09.24, 14:36:08] Phil: hatten grad iwie komische vibes
[18.09.24, 14:36:20] Phil: sie hat iwie so unsicher gewirkt
[18.09.24, 14:38:51] Emmanuel: Film
[18.09.24, 15:10:41] Phil: hast du bock das am wochenende anzuschauen?
[18.09.24, 16:25:44] Emmanuel: Ja können wir machen
[18.09.24, 19:23:34] Phil: Wann kommste
[20.09.24, 11:28:51] Phil: Ready when u are
‎[20.09.24, 19:40:15] Phil: ‎image omitted
[20.09.24, 19:58:05] Phil: Bro war doch nicht Watergate
[20.09.24, 19:58:26] Phil: sondern Kollektiv Party am Treptower
[20.09.24, 19:58:32] Phil: aber ist kostenlos
[20.09.24, 19:58:40] Phil: ist doch geil oder?
[21.09.24, 10:43:45] Phil: Was geht
[21.09.24, 10:43:56] Phil: bock später im Treppi zu chillen?
[21.09.24, 11:44:25] Emmanuel: Hey, 
Bin mit Anja hättest du Bock zum zu chillen sie hätte auch Bock im nature zu chillen
Wie können auch mit außerhalb fahren falls du Bock hast 
Brandenburg adventure vibes
[21.09.24, 13:00:23] Phil: Jo bin ehrenamtlich im
Kletterzentrum
[21.09.24, 13:00:38] Phil: bis 4
‎[21.09.24, 13:12:24] Emmanuel: ‎audio omitted
[21.09.24, 13:27:37] Phil: chillig
[21.09.24, 13:27:54] Phil: ich glaub ich packs bald zu euch
‎[21.09.24, 13:46:09] Emmanuel: ‎audio omitted
[21.09.24, 14:15:13] Phil: beim Club der Visionäre kann man ja Boote leihen
[21.09.24, 14:42:49] Phil: Bin bei den Flagen
‎[21.09.24, 16:48:12] Phil: ‎image omitted
‎[21.09.24, 16:48:12] Phil: ‎image omitted
‎[21.09.24, 16:48:12] Phil: ‎image omitted
‎[21.09.24, 16:48:12] Phil: ‎image omitted
‎[21.09.24, 16:48:12] Phil: ‎image omitted
‎[21.09.24, 16:48:12] Phil: ‎image omitted
‎[21.09.24, 16:48:12] Phil: ‎image omitted
‎[21.09.24, 16:48:12] Phil: ‎image omitted
‎[21.09.24, 16:48:12] Phil: ‎image omitted
[22.09.24, 10:55:56] Emmanuel: He bist du gut Home gekommen?
[22.09.24, 11:07:39] Phil: Jo sorry
[22.09.24, 11:07:41] Phil: ja bin ich
[22.09.24, 11:07:44] Phil: war easy
[22.09.24, 11:07:51] Phil: War echt nice gestern
[22.09.24, 11:07:54] Phil: gerne wieder
[22.09.24, 11:10:41] Emmanuel: Same same
[22.09.24, 11:19:33] Emmanuel: Fand ich auch
[22.09.24, 11:44:56] Phil: Lass das auch noch ausschecken
https://www.instagram.com/p/DAK1hgGoPub/?igsh=ajExYTVreG5jNXR2
[22.09.24, 13:02:18] Phil: Kannste mir bitte noch den Eintritt paypalen?
[22.09.24, 13:04:20] Emmanuel: Ja Safe
[22.09.24, 13:04:26] Emmanuel: Schickst du mir dein Paypal
[22.09.24, 13:07:13] Phil: @Kreditgott
‎[22.09.24, 14:43:19] Emmanuel: ‎audio omitted
[22.09.24, 14:46:33] Phil: No worries bro
[23.09.24, 14:25:30] Phil: Hast du Lust da auch mitzumachen?
Probanden für Studie gesucht https://probanden.charite-research.de/probanden
[23.09.24, 14:25:48] Phil: Uwe macht die gerade schon und ich hab mich jetzt registriert
[23.09.24, 14:26:06] Phil: bringt halt 3170€
[23.09.24, 14:38:27] Emmanuel: Puhh ok crazy
[23.09.24, 17:23:51] Phil: Bist du heute Abend am Start? :)
[23.09.24, 17:25:51] Emmanuel: Ne Bro leider nicht n du?
[23.09.24, 17:31:47] Phil: Echt wieso?
[23.09.24, 17:31:58] Phil: Ja danke schon aber nicht zu lang
[23.09.24, 17:40:52] Phil: Kein Bock oder wie?
[23.09.24, 17:51:50] Emmanuel: Ja irgendwie keine Lust
[23.09.24, 17:55:19] Phil: Ja same irgendwie
[23.09.24, 17:55:30] Phil: denke ich schau kurz vorbei
[23.09.24, 17:57:51] Emmanuel: Mach mal 
Viel Spaß dir 🙏
[23.09.24, 18:01:10] Phil: ‎You deleted this message.
[24.09.24, 14:08:42] Phil: Bro Cyber Security
[24.09.24, 14:36:01] Emmanuel: Wie
[24.09.24, 14:37:14] Phil: ist jetzt
[24.09.24, 14:39:05] Emmanuel: Nice
[25.09.24, 15:49:47] Phil: ah fuck sie hat nen Freund 😭😭
[25.09.24, 15:52:15] Phil: hab sie gefragt haha
[25.09.24, 15:56:59] Emmanuel: Ahh mies bro :/
[25.09.24, 15:57:36] Phil: happens
[25.09.24, 15:57:43] Emmanuel: Ja
[25.09.24, 15:57:48] Phil: aber hatte eh ein unsicheres Gefühl
[25.09.24, 15:57:54] Phil: glaube die ist echt nicht leicht
[25.09.24, 15:58:07] Emmanuel: Safe nicht 😂😂
[25.09.24, 15:59:24] Phil: Bist du an der Uni?
[25.09.24, 16:10:13] Emmanuel: Nop bin heute Home
[25.09.24, 16:40:48] Phil: schade
‎[25.09.24, 17:27:11] Emmanuel: ‎audio omitted
[25.09.24, 17:30:20] Phil: Hast du bock da dazuzukommen? Gibt auch Pizza und Drinks 😋
https://app.code.berlin/events/eventSeries/cm0k1k9z20000jz0hm65p921s
[25.09.24, 17:59:31] Emmanuel: Wann ist die?
[25.09.24, 18:10:34] Phil: jetzt
[25.09.24, 18:10:40] Phil: aber geht lange
‎[25.09.24, 18:46:38] Emmanuel: ‎audio omitted
‎[25.09.24, 18:46:45] Emmanuel: ‎audio omitted
[25.09.24, 18:54:36] Phil: der schmerz geht vorbei
‎[25.09.24, 19:23:36] Phil: ‎image omitted
[28.09.24, 17:43:29] Phil: jo as geht
[28.09.24, 17:43:40] Phil: willste um 19 Uhr mit Brettspielen kommen?
[28.09.24, 17:48:59] Phil: 19 Uhr hier
https://maps.app.goo.gl/umVMb1ScxLw9WqEP8?g_st=iw
‎[02.10.24, 12:45:17] Phil: ‎image omitted
‎[02.10.24, 12:45:23] Phil: ‎image omitted
‎[02.10.24, 12:50:04] Emmanuel: ‎audio omitted
[02.10.24, 12:51:17] Phil: bro das ist falafel
‎[02.10.24, 12:51:24] Phil: ‎image omitted
‎[02.10.24, 12:51:43] Emmanuel: ‎audio omitted
[02.10.24, 12:53:14] Phil: 😂😂
[02.10.24, 12:53:18] Phil: kein problem
[02.10.24, 12:56:36] Emmanuel: Hahaha bring mal eine mit
[02.10.24, 12:56:40] Emmanuel: Kriegst para
[02.10.24, 13:00:30] Phil: ok
[02.10.24, 13:00:46] Phil: kannst du mir sagen wo man fake gucci taschen kaufen kann in berlin?
‎[02.10.24, 13:01:07] Phil: ‎image omitted
‎[02.10.24, 13:01:25] Phil: ‎image omitted
[02.10.24, 13:01:31] Phil: sowas in der art
[02.10.24, 13:06:34] Emmanuel: Puhh sage lass gleich gucken Sonnenallee
[02.10.24, 13:07:22] Phil: hab nur bis 14 uhr zeit
[02.10.24, 13:07:37] Phil: wollen wir uns iwo treffen?
[02.10.24, 13:07:43] Phil: hab auch gleich dein Falafel
[02.10.24, 13:29:00] Phil: kommst du kitchen
‎[02.10.24, 18:07:02] Phil: ‎image omitted
[02.10.24, 18:07:08] Phil: schon fett oder
[02.10.24, 18:25:54] Phil: Ataraxie – Wikipedia https://de.m.wikipedia.org/wiki/Ataraxie
[02.10.24, 18:26:16] Phil: Ich will mal ein Eudaimon werden
‎[02.10.24, 18:38:56] Emmanuel: ‎audio omitted
[02.10.24, 20:08:17] Phil: Bro steht in der Einleitung
‎[02.10.24, 20:10:35] Emmanuel: ‎audio omitted
[02.10.24, 20:10:55] Phil: ja man safe
[02.10.24, 20:11:06] Phil: Muss echt meditieren
[02.10.24, 20:11:14] Phil: hab einfach nur zu viel im
kopf
‎[02.10.24, 20:18:28] Emmanuel: ‎audio omitted
[02.10.24, 20:19:58] Phil: hört sich sinnvoll an ‎<This message was edited>
[02.10.24, 20:20:00] Phil: ‎You deleted this message.
[02.10.24, 20:28:42] Emmanuel: ❤️❤️❤️
[02.10.24, 20:29:00] Emmanuel: Was hast gelöscht
[02.10.24, 20:31:54] Phil: „an“
[02.10.24, 20:32:00] Phil: 😄🫶🏼
[02.10.24, 20:33:45] Emmanuel: Komm einfach mit 

Und ich glaub um entspannter zu sein musst du einfach auf Gott und den Flow des Lebens, denn seien wir mal ehrlich was haben wir sonst für ne Wahl
[02.10.24, 20:35:48] Phil: true true
[02.10.24, 20:35:51] Phil: gute Worte
[02.10.24, 20:35:59] Phil: ich komm
‎[02.10.24, 20:50:44] Phil: ‎image omitted
[02.10.24, 20:53:36] Emmanuel: Normal
[02.10.24, 21:44:21] Phil: 9,90€
[04.10.24, 22:29:20] Phil: sorry bro mein Handy war am Laden
[04.10.24, 22:29:31] Phil: Was geht bei dir das Wochenende?
‎[05.10.24, 00:39:00] Emmanuel: ‎image omitted
[05.10.24, 00:39:08] Emmanuel: Bin in Düsseldorf
[05.10.24, 00:39:09] Emmanuel: Und du
[05.10.24, 14:32:32] Phil: Süß wer ist die denn :)
[05.10.24, 14:32:42] Phil: nur chillen das Wochenende
[05.10.24, 14:55:46] Emmanuel: Das ist raquel ne Kindheits Problem
‎[05.10.24, 14:59:35] Emmanuel: ‎audio omitted
[05.10.24, 15:07:28] Phil: 😂😂😂
[05.10.24, 15:07:36] Phil: Könnte auch ich sein lol
‎[05.10.24, 15:17:23] Emmanuel: ‎audio omitted
‎[07.10.24, 19:58:31] Phil: ‎image omitted
[07.10.24, 20:12:07] Emmanuel: Kann man machen wann ist das
‎[07.10.24, 20:13:14] Phil: ‎image omitted
‎[07.10.24, 20:27:11] Phil: ‎image omitted
‎[07.10.24, 20:29:30] Emmanuel: ‎audio omitted
[07.10.24, 20:30:01] Phil: 😂😂😂
[09.10.24, 10:50:42] Phil: https://open.spotify.com/track/6P5Mhl2WB7HVXQ6Yil3coB?si=TCnr-xuESv2LzL74oNkN_Q&context=spotify%3Aplaylist%3A37i9dQZF1E8D3taCikxDAC
[09.10.24, 18:18:46] Phil: Jo kannste mir bitte die Goohöe Suche schicken mit der Tech hose?
[09.10.24, 18:18:51] Phil: Waren gute Preise
‎[09.10.24, 19:23:34] Emmanuel: ‎audio omitted
[09.10.24, 19:23:52] Emmanuel: tech hosen.
‎[09.10.24, 19:24:02] Emmanuel: ‎audio omitted
[09.10.24, 19:32:02] Phil: ah jo passt danke
[15.10.24, 18:21:44] Phil: digga gibt end geile Desserts in der Kitchen for free
[16.10.24, 12:40:42] Phil: https://youtu.be/u4ZoJKF_VuA?si=EpC4fyVCCD7Os-1b
[16.10.24, 13:04:25] Phil: https://maps.app.goo.gl/5LtWuvqwx1kU5R8t5?g_st=com.google.maps.preview.copy
‎[17.10.24, 12:08:57] Emmanuel: ‎audio omitted
[17.10.24, 12:19:48] Phil: Danke mein Lieber 🥰🥰
[17.10.24, 12:19:57] Phil: freu mich auf später!
[17.10.24, 19:13:53] Emmanuel: Wo ist die Location
[17.10.24, 19:20:50] Phil: ja hier
[17.10.24, 19:56:36] Emmanuel: Wann treffen
[17.10.24, 19:57:00] Phil: sind hier :)
[17.10.24, 20:44:37] Emmanuel: Ok bin so 22 Uhr da
[17.10.24, 20:44:49] Phil: ok 👌🏼
[24.10.24, 20:32:20] Emmanuel: ‎Missed voice call. ‎Click to call back
[24.10.24, 20:32:35] Phil: Kann ich später anrufen?
[24.10.24, 20:32:42] Emmanuel: Nö kannst du nicht
[24.10.24, 20:32:54] Phil: bin gleich aus der Ubahn 😂🫶🏼
[24.10.24, 20:32:59] Emmanuel: Nutte…
[24.10.24, 20:33:03] Emmanuel: Hahaha
[24.10.24, 20:33:08] Emmanuel: Nein
[24.10.24, 20:33:09] Emmanuel: Scherz
[24.10.24, 20:33:14] Emmanuel: Safe bro
[24.10.24, 20:33:18] Phil: ist klar
[24.10.24, 20:33:23] Phil: bin ne Nutte
[24.10.24, 20:33:29] Emmanuel: Hahahah chill bro
[24.10.24, 21:31:01] Emmanuel: Made it
[24.10.24, 21:31:06] Emmanuel: 🥰
‎[24.10.24, 21:31:16] Emmanuel: ‎audio omitted
[24.10.24, 22:26:31] Phil: Nice bro 👊
[24.10.24, 22:26:37] Phil: yo ist schon machbar
[24.10.24, 22:26:42] Phil: nur mühsam
[24.10.24, 22:45:35] Emmanuel: ❤️
[25.10.24, 12:11:12] Phil: Wann Lahmacun?
[25.10.24, 15:07:33] Phil: digga komm auch zur Orga
[25.10.24, 15:07:40] Emmanuel: Warum
[25.10.24, 15:07:47] Emmanuel: Für was
[25.10.24, 15:07:48] Phil: du könntest die Parties mit deiner App organisieren
[25.10.24, 15:07:58] Emmanuel: Achso hahah ne bro
[25.10.24, 15:08:00] Emmanuel: Noch nicht
[25.10.24, 15:08:00] Phil: Das wäre das perfekte Marketing
[25.10.24, 15:08:05] Emmanuel: Hahahah
[25.10.24, 15:08:06] Phil: ja aber in Zukunft
[25.10.24, 15:08:13] Phil: vielleicht Weihnachten
[25.10.24, 15:08:16] Phil: ist auch bald
[25.10.24, 15:08:25] Phil: Haben wir gerade gesagt
[25.10.24, 15:09:32] Emmanuel: ja safe in Zukunft
[25.10.24, 15:09:46] Emmanuel: aber hey wie heißt nochmal die scraper library die du meintest
[25.10.24, 15:09:57] Phil: Selenium
[25.10.24, 15:10:47] Emmanuel: korrekt danke
[25.10.24, 17:30:53] Phil: jo rauchen bin ich doch raus
[25.10.24, 17:30:58] Phil: aber spazieren gerne
[25.10.24, 17:31:14] Phil: im Treptower
[25.10.24, 17:42:09] Phil: bin bei Aufzügen
[25.10.24, 18:02:04] Phil: Brauche Mode Rat von dir
[25.10.24, 18:09:09] Emmanuel: ‎Missed voice call. ‎Click to call back
[25.10.24, 21:12:22] Phil: https://open.spotify.com/track/7jwQlYGpOml9ETGre1HqGA?si=oRnGAMLZR4aR3B75u8VtNA
[26.10.24, 00:32:36] Emmanuel: ‎Missed voice call. ‎Click to call back
[26.10.24, 12:51:43] Phil: jo was geht
[26.10.24, 12:51:49] Phil: Nacht gut überstanden?
[26.10.24, 13:25:46] Emmanuel: Hey ja man du?
[26.10.24, 13:28:31] Phil: same haha
[26.10.24, 13:28:42] Phil: hab bis geschlafen haha
[26.10.24, 20:09:56] Emmanuel: ‎Missed voice call. ‎Click to call back
[26.10.24, 20:13:25] Phil: ‎Voice call. ‎9 min
[27.10.24, 08:47:11] Emmanuel: Hey lass ein andermal sehen werd etwas Zeit alleine vergingen
[27.10.24, 08:47:14] Emmanuel: Verbringen
[27.10.24, 10:28:41] Phil: ok
[27.10.24, 13:26:55] Phil: ‎Voice call. ‎No answer
[27.10.24, 14:26:28] Emmanuel: ‎Voice call. ‎Answered on other device
[27.10.24, 14:46:14] Phil: wie heißt nochmal die Schlüssel app für Code?
[27.10.24, 14:46:22] Phil: und wie meldet man sich da an?
[27.10.24, 15:01:17] Emmanuel: Justin mobile
[27.10.24, 15:01:23] Emmanuel: Es erkennt deine Nummer
[27.10.24, 15:05:20] Phil: lol ok danke
[27.10.24, 15:07:09] Phil: ‎You sent a view once message. For added privacy, you can only open it on your phone.
[27.10.24, 15:09:37] Emmanuel: Gib mal ein
[27.10.24, 15:10:01] Phil: hab ich schon
[27.10.24, 15:10:04] Phil: dann kommt das
[27.10.24, 15:10:26] Phil: bei dir war schon zugewiesen?
[27.10.24, 15:10:49] Emmanuel: Genau hab meine Nummer eingegeben dann ging das
[27.10.24, 15:11:00] Phil: ah madig
[27.10.24, 15:11:08] Emmanuel: Schau mal auf slack da haben die es erklärt
[27.10.24, 15:11:16] Phil: ah ok merci
[27.10.24, 15:11:16] Emmanuel: Aber alles gut Bro
[27.10.24, 15:11:25] Emmanuel: Du kannst schon zur Uni
[27.10.24, 15:11:33] Emmanuel: Ich komm dazu und mach dir auf
[27.10.24, 15:11:38] Phil: alter nice
[27.10.24, 15:11:50] Phil: Bin dann ca um 4 da
[27.10.24, 15:12:02] Emmanuel: Ok denke bin 16:16 da
[27.10.24, 15:12:14] Phil: 👌🏼
[27.10.24, 21:31:42] Phil: Hat schon echt gut getan Bro
[27.10.24, 21:36:30] Emmanuel: Ja man 
Danke
[27.10.24, 23:52:58] Phil: junge ich habs geschafft 😂😭
[27.10.24, 23:53:38] Phil: erst gemütlich Harry Potter gezockt, Kopf war wieder frei und dann noch kurz gecoded und es hat geklappt 😍
[28.10.24, 00:02:48] Emmanuel: Hahah das freut mich
‎[28.10.24, 00:37:22] Emmanuel: ‎image omitted
‎[28.10.24, 00:38:17] Emmanuel: ‎image omitted
‎[28.10.24, 00:38:17] Emmanuel: ‎image omitted
‎[28.10.24, 00:38:34] Emmanuel: ‎image omitted
‎[28.10.24, 00:38:35] Emmanuel: ‎image omitted
[28.10.24, 00:38:42] Emmanuel: Gott is krass
[28.10.24, 01:14:52] Phil: Deep
[28.10.24, 01:14:55] Phil: Sehr passend
‎[30.10.24, 12:54:41] Phil: ‎video omitted
[30.10.24, 13:17:26] Emmanuel: 😂😂😂😂😂
[30.10.24, 13:18:41] Phil: Erinnerst du dich an das Gespräch das wir am Sonntag hatten über unsere Väter übertrumpfen
[30.10.24, 13:18:52] Phil: eigentlich wollen wir nur dass er sagt dass er stolz ist
[30.10.24, 13:45:40] Emmanuel: Hahaha ja bro 😂😂
[30.10.24, 18:16:47] Phil: sorry musste los
[30.10.24, 18:17:16] Emmanuel: Ok
‎[01.11.24, 12:24:52] Emmanuel: ‎audio omitted
[01.11.24, 12:30:59] Phil: ah schade
[01.11.24, 12:31:05] Phil: ok verständlich
[01.11.24, 12:31:11] Phil: wir sehen uns
[02.11.24, 15:18:57] Phil: yo was geht
[02.11.24, 15:19:00] Phil: heute Uni?
[02.11.24, 15:19:07] Phil: danach wieder chillen?
‎[02.11.24, 15:34:04] Emmanuel: ‎audio omitted
[02.11.24, 15:56:47] Phil: https://probanden.charite-research.de/probanden
[02.11.24, 15:56:55] Phil: die haben auf 4000 erhöht
[02.11.24, 15:59:31] Emmanuel: Nice hab mich registriert
[02.11.24, 15:59:37] Emmanuel: Hast du schon angefangen
[02.11.24, 16:15:51] Phil: laber echt ich dachte am Wochenende hat die offen 😭😭
[02.11.24, 16:16:03] Phil: mein Laptop ist noch da 😭😭😭
[02.11.24, 16:26:37] Emmanuel: 👀
[02.11.24, 18:16:03] Phil: Yo Tür unten kann man jetzt mit der App aufmachen 🤩
[02.11.24, 18:20:29] Emmanuel: Ahhh ok krass
[03.11.24, 11:08:29] Emmanuel: Was hältst du von den Namen
[03.11.24, 11:11:13] Emmanuel: Orth ‎<This message was edited>
[03.11.24, 12:17:41] Phil: Bro chill kommt von selber
[03.11.24, 12:18:00] Phil: Vielleicht kommt er wenn du ein Partner hast
